day	downloads
2015-05-23	97142
2015-05-24	83556
2015-05-25	162693
2015-05-26	265189
2015-05-27	288702
2015-05-28	272808
2015-05-29	274270
2015-05-30	103283
2015-05-31	109271
2015-06-01	292252
2015-06-02	316212
2015-06-03	306622
2015-06-04	300876
2015-06-05	280893
2015-06-06	107993
2015-06-07	97896
2015-06-08	287966
2015-06-09	314275
2015-06-10	320836
2015-06-11	319091
2015-06-12	284573
2015-06-13	107633
2015-06-14	95088
2015-06-15	294694
2015-06-16	326193
2015-06-17	319712
2015-06-18	311559
2015-06-19	270072
2015-06-20	97792
2015-06-21	85838
2015-06-22	271882
2015-06-23	304331
2015-06-24	317498
2015-06-25	322766
2015-06-26	296004
2015-06-27	106433
2015-06-28	99193
2015-06-29	292177
2015-06-30	331259
2015-07-01	318905
2015-07-02	297153
2015-07-03	214158
2015-07-04	89814
2015-07-05	84164
2015-07-06	291375
2015-07-07	314753
2015-07-08	326385
2015-07-09	335923
2015-07-10	293113
2015-07-11	96915
2015-07-12	100862
2015-07-13	309067
2015-07-14	327062
2015-07-15	329563
2015-07-16	337586
2015-07-17	309714
2015-07-18	126105
2015-07-19	108592
2015-07-20	292958
2015-07-21	318096
2015-07-22	329402
2015-07-23	305220
2015-07-24	277318
2015-07-25	103251
2015-07-26	92676
2015-07-27	293463
2015-07-28	329521
2015-07-29	324162
2015-07-30	309331
2015-07-31	278740
2015-08-01	101574
2015-08-02	94712
2015-08-03	285398
2015-08-04	330464
2015-08-05	310648
2015-08-06	321677
2015-08-07	298484
