day	downloads
2015-06-25	107088
2015-06-26	113209
2015-06-27	57746
2015-06-28	43299
2015-06-29	108166
2015-06-30	115846
2015-07-01	118098
2015-07-02	97545
2015-07-03	78829
2015-07-04	48052
2015-07-05	65004
2015-07-06	129044
2015-07-07	116832
2015-07-08	111539
2015-07-09	120853
2015-07-10	99071
2015-07-11	51669
2015-07-12	69534
2015-07-13	113823
2015-07-14	115950
2015-07-15	106857
2015-07-16	123957
2015-07-17	106143
2015-07-18	77582
2015-07-19	83533
2015-07-20	139191
2015-07-21	126456
2015-07-22	111721
2015-07-23	124533
2015-07-24	120688
2015-07-25	66774
2015-07-26	68569
2015-07-27	129132
2015-07-28	126299
2015-07-29	124944
2015-07-30	117173
2015-07-31	106769
2015-08-01	59108
2015-08-02	53390
2015-08-03	116989
2015-08-04	124144
2015-08-05	122054
2015-08-06	129201
2015-08-07	108363
